# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260419_coastal_LA_ICB20TRCNPRDCTCBC_TAM
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1939	269.833671	10638.108354	-3783.516373	-4049.012496	4361.693168	4366.581252	6584.758304	25.969553	76.282614	61549.440547	76226.572558	277966.612569	407050.660932
1940	265.270893	8608.831453	-1318.003377	-1579.047914	1707.470849	1712.232106	7025.557177	26.859714	71.615175	60508.664555	76268.498408	280645.015272	410267.313191
1941	272.269664	9880.968062	-2768.386793	-3036.540466	3298.611481	3303.249556	6840.311610	23.697329	77.928433	62105.094186	76332.888813	282397.030682	412388.125946
1942	270.452122	10152.565661	-3013.149253	-2597.447109	2860.375497	3554.319418	6868.964289	25.083565	81.698063	61690.510103	76384.014487	284679.438407	415248.309821
1943	263.942564	9736.795529	-2586.332651	-2844.464203	3084.918024	3091.246298	6886.520318	27.136792	73.692041	60205.670818	76422.989727	286839.746981	417961.223811
1944	264.947579	8868.509445	-1436.983169	-1698.092859	1841.786759	1846.109861	7166.578694	28.003139	72.635003	60434.916059	76463.585649	288694.801635	420186.335802
1945	268.804589	9543.928918	-2388.715568	-2653.780758	2884.118354	2888.330347	6886.408758	26.505125	78.063911	61314.705499	76486.986594	290300.078241	422265.415328
1946	267.391808	9569.389486	-1961.952738	-2225.695453	2395.955702	2400.064899	7340.044947	25.439298	79.712188	60992.448169	76522.299949	292422.426505	424824.710145
1947	256.086053	9215.341997	-2093.703467	-2346.249266	2516.709541	2520.695905	6865.552478	27.977535	73.004762	58413.589624	76549.942441	294205.287165	427060.893339
1948	254.057584	10768.630425	-3958.972934	-4209.598272	4521.336396	4525.202077	6555.599918	28.356483	73.384739	57950.892885	76562.422228	296462.803689	430176.221406
1949	255.690739	8510.640261	-974.108920	-1226.652057	1326.228568	1329.730143	7280.840603	26.112216	76.890447	58323.417933	76588.876444	298858.344171	433241.580884
1950	255.961862	8617.149256	-1472.005286	-1725.306514	1892.251289	1895.211258	6889.182102	26.305702	74.291937	58385.261451	76618.610395	299454.944975	434200.009800
1951	249.412322	8813.522580	-2023.793092	733.304227	-589.421111	2447.691405	6540.317167	29.465063	72.830719	56891.302175	76629.293311	299249.919717	435099.955044
1952	248.350198	8946.013648	-1998.181650	-2236.275623	2417.589896	2428.151199	6699.481801	27.813515	73.614943	56649.030223	76647.530092	298811.646539	435448.167952
1953	243.918475	8026.344650	-543.047134	-785.208617	856.611755	858.580612	7239.379037	25.763537	72.444461	55638.147820	76675.331161	299662.765641	436933.658283
1954	245.818805	9290.611634	-2706.952298	-2284.719530	2526.635625	3202.028132	6337.840528	28.767347	71.288782	56071.615930	76676.084124	300672.246971	438762.130812
1955	244.939428	8053.447078	-938.008260	-1179.249892	1296.853277	1300.814561	6870.499395	26.921936	76.091503	55871.028791	76678.045726	301678.131975	440706.246540
1956	246.965127	8800.495358	-1898.582656	-2143.604805	2305.748951	2307.945016	6654.947576	28.576838	73.505996	56333.093620	76685.329607	302391.186212	442108.100690
1957	245.628544	7303.922911	169.661243	-73.965415	94.343410	96.603168	7227.955609	27.502961	76.689200	56028.217149	76689.093333	303036.082926	443311.156225
1958	242.924938	8074.482192	-909.220886	-1150.120581	1255.859745	1258.143482	6922.336367	28.236101	74.525262	55411.520747	76704.293862	303147.025526	443870.559111
1959	244.642338	7189.131451	337.403712	94.767548	-101.470466	-99.209665	7281.892819	28.868150	71.043672	55803.262151	76718.489469	303286.500898	444424.982231
1960	240.290302	8756.392141	-2169.183577	-205.297520	400.149001	2626.374164	6346.918255	31.946204	71.799399	54810.556514	76717.068736	302651.034487	444469.749400
1961	244.376246	7503.262446	-261.052878	159.888312	-126.778766	545.855563	6997.833319	29.659568	74.112158	55742.566111	76714.399925	302000.078697	444600.334164
1962	241.442649	7931.584006	-1243.167787	1334.708278	-1247.357944	1627.817148	6446.973571	31.526756	68.468997	55073.408536	76703.300906	300247.161110	443526.753628
